country_of_origin,region,variety,processing_method,color,harvest_year,altitude_mean_meters,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points
Colombia,cundinamarca,Caturra,Washed / Wet,Green,2016,1799,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,83.08
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,83.08
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,Bluish-Green,2015,905,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,83.08
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,83.08
Taiwan,"dongshan dist., tainan city 臺南市東山區",Typica,Natural / Dry,Green,2015,750,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,83.08
Brazil,chapadão de ferro (cerrado mineiro),Mundo Novo,Natural / Dry,Green,2015,NA,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83.08
Brazil,south of minas,Bourbon,Washed / Wet,Green,2014/2015,1200,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,83.08
Costa Rica,central valley,Catuai,Washed / Wet,Green,2014,1300,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,83.08
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2013,NA,7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,83.08
Taiwan,chiayi alishan 嘉義縣阿里山鄉,Typica,Other,NA,2013/2014,1300,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,83.08
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2012,NA,7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,83.08
Mexico,santa catarina juquila,Other,Washed / Wet,NA,2012,1400,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,83.08
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,NA,2012,NA,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,83.08
United States (Hawaii),kona,Hawaiian Kona,Washed / Wet,Green,2012,NA,7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,83.08
Colombia,huila,Caturra,NA,NA,Mayo a Julio,1775,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,83.08
Colombia,cauca,NA,NA,NA,47/2010,1880,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,83.08
Guatemala,NA,NA,NA,NA,NA,NA,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,83.08
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,83
Brazil,south of minas,Bourbon,Natural / Dry,Green,2016,894,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,83
Brazil,south of minas,Bourbon,Natural / Dry,Bluish-Green,2016,872,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,83
Colombia,huila,NA,NA,Green,2016,442,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,83
Guatemala,nuevo oriente,Catuai,Washed / Wet,Green,2015,1550,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,83
Guatemala,"el tumbador, san marcos",Catuai,Washed / Wet,Green,2015,1371.6,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,83
Guatemala,antigua,Bourbon,Washed / Wet,Green,2015,1500,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,83
Brazil,high mogiana,Catuai,Natural / Dry,Green,2014,1000,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,83
Taiwan,嘉義阿里山,Typica,Washed / Wet,Green,2014,1200,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,83
Guatemala,antigua,Bourbon,Washed / Wet,Green,2014,1500,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,83
Costa Rica,central valley,Catuai,Washed / Wet,Green,2013,1200,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,83
Brazil,sul de minas,Yellow Bourbon,Semi-washed / Semi-pulped,Bluish-Green,2013/2014,1250,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,83
Colombia,huila,Caturra,Washed / Wet,Green,2013,1775,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,83
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,83
Colombia,pitalito,Caturra,Natural / Dry,Green,2013,1000,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,83
Colombia,pitalito,Caturra,Natural / Dry,Green,2013,1000,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,83
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,83
Mexico,coatepec,Typica,Washed / Wet,Green,2012,750,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,83
Mexico,atoyac de alvarez,Typica,Semi-washed / Semi-pulped,Green,2012,1200,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,83
Mexico,coatepec,Bourbon,Washed / Wet,Green,2012,1200,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,83
Colombia,NA,Arusha,Natural / Dry,NA,2012,NA,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,83
Colombia,huila,Caturra,Washed / Wet,Green,2012,1625,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,83
Colombia,huila,Caturra,Washed / Wet,Green,2012,1750,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,83
Guatemala,"la reforma, san marcos",Bourbon,Washed / Wet,Green,2012,1371.6,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,83
Colombia,la plata,Caturra,Washed / Wet,Bluish-Green,2011,1775,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,83
Thailand,NA,NA,NA,NA,2011,NA,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83
Colombia,cauca,NA,NA,NA,Abril - Julio,1450,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,83
United States (Hawaii),NA,NA,NA,NA,NA,NA,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,83
United States (Hawaii),NA,NA,NA,NA,NA,NA,7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,83
Colombia,huila,NA,NA,NA,4t/2011,1800,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,83
Thailand,NA,NA,NA,NA,NA,NA,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,83
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,82.92
Colombia,guayata,Caturra,Washed / Wet,Green,2017,1500,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,82.92
Taiwan,"dongshan dist., tainan city 臺南市東山區",Caturra,Natural / Dry,Green,2016,350,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,82.92
Ethiopia,"blida,kercha,guji,oromia",Ethiopian Heirlooms,Washed / Wet,Bluish-Green,2016,2000,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,82.92
Taiwan,台東太麻里,Typica,Natural / Dry,Green,2014,775,7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,82.92
Mexico,cuarenteño,Typica,Natural / Dry,Blue-Green,2015,1059,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,82.92
Mexico,chiapas,Bourbon,Washed / Wet,Bluish-Green,2015,1300,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,82.92
Brazil,cerrado,Moka Peaberry,Semi-washed / Semi-pulped,Green,2014/2015,NA,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,82.92
Guatemala,antigua,Bourbon,Washed / Wet,Green,2014,1500,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,82.92
Guatemala,antigua,Caturra,Natural / Dry,Green,2014,1500,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,82.92
Guatemala,NA,NA,Washed / Wet,Green,2012,NA,7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,7.75,82.92
Colombia,huila,Caturra,Washed / Wet,Green,2013,1900,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,82.92
Colombia,huila,Caturra,Natural / Dry,Bluish-Green,2013,1750,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,82.92
Guatemala,huehuetenango,Bourbon,Washed / Wet,Green,2013,1706.88,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,82.92
Colombia,antioquia,Other,Washed / Wet,Green,2013,1450,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,82.92
Mexico,petatlan,Typica,Natural / Dry,Green,2012,1248,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,82.92
Mexico,la cumbre,Typica,Washed / Wet,Green,2012,1400,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,82.92
United States (Hawaii),kona,Hawaiian Kona,Washed / Wet,Green,2012,NA,7.5,7.5,7.5,7.42,7.67,7.83,10,10,10,7.5,82.92
Colombia,cauca,NA,NA,NA,Abril - Julio /2011,1450,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,82.92
Thailand,NA,NA,NA,NA,NA,NA,7.42,7.58,7.5,7.17,7.5,8,10,10,10,7.75,82.92
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2017,1700,7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,82.83
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,Bluish-Green,2015,905,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,82.83
Guatemala,oriente,Bourbon,Washed / Wet,Green,2015,1219.2,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,82.83
Brazil,cerrado,Catuai,Natural / Dry,Green,2015,900,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,82.83
Colombia,huila,Other,Washed / Wet,NA,2014,1600,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,7.08,82.83
Guatemala,antigua,Bourbon,Washed / Wet,Green,2014,1500,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,82.83
Colombia,santander,Typica,Natural / Dry,Green,2013,1800,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,82.83
Colombia,huila,Caturra,Washed / Wet,Green,2013,1775,7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,82.83
"Tanzania, United Republic Of",arusha,Arusha,Washed / Wet,Green,2012,1400,7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,82.83
Mexico,la concordia,Caturra,Washed / Wet,Green,2012,1550,7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,82.83
Mexico,veracruz,Bourbon,Washed / Wet,Blue-Green,2012,1250,7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,82.83
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1310.64,7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,82.83
Mexico,la concordia,Typica,Washed / Wet,NA,2012,1380,7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,7.5,82.83
Guatemala,santa rosa,Caturra,Washed / Wet,Green,NA,1100,7.5,7.58,7.42,7.67,7.58,7.5,10,10,10,7.5,82.75
Guatemala,santa rosa,Caturra,Washed / Wet,Green,2017,1800,7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,82.75
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2017,1700,7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,82.75
Guatemala,santa rosa,Bourbon,Washed / Wet,Green,2017,1219.2,7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,82.75
Guatemala,oriente,Bourbon,Washed / Wet,Green,2017,1219.2,7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,82.75
Guatemala,el progreso,Bourbon,Washed / Wet,Green,2017,157.8864,7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,82.75
Taiwan,"台南市東山區( dongshan dist., tainan city)",Yellow Bourbon,Natural / Dry,Green,2016,650,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,82.75
Costa Rica,tarrazu,Caturra,Washed / Wet,Bluish-Green,2016,1850,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,82.75
Honduras,comayagua,Caturra,Natural / Dry,Green,2017,1400,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,82.75
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,Bluish-Green,2015,905,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,82.75
Colombia,huila,Caturra,Washed / Wet,Blue-Green,2014,1775,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,82.75
Guatemala,jalapa,Pacas,Washed / Wet,Green,2014,1524,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,82.75
Colombia,huila,Typica,Washed / Wet,Green,2014,165,7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,7.67,82.75
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Blue-Green,2013,NA,7.67,7.58,7.42,7.83,7.33,7.5,10,10,10,7.42,82.75
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Green,2013,NA,7.58,7.83,7.75,7.75,7.42,8,9.33,9.33,10,7.75,82.75
Colombia,antioquia,Caturra,Washed / Wet,Green,2013,1300,7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,7.5,82.75
Mexico,chiapas,Typica,Washed / Wet,Green,2013,1550,7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,7.58,82.75
Mexico,veracruz,Typica,Washed / Wet,NA,2012,1200,7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,7.67,82.75
Mexico,atoyac de alvarez,Typica,Natural / Dry,NA,2012,1200,8.08,8.17,8,8,7.83,7.92,6.67,10,10,8.08,82.75
Colombia,south huila,Caturra,Washed / Wet,Blue-Green,2012,1625,7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,7.5,82.75
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,7.42,82.75
United States (Hawaii),kona,Hawaiian Kona,Washed / Wet,Green,2012,NA,7.25,7.75,7.5,7.83,7.67,7.67,9.33,10,10,7.75,82.75
United States (Hawaii),kona,NA,NA,NA,NA,NA,7.75,7.67,7.5,7.83,7.17,7.42,10,10,10,7.42,82.75
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,7.5,82.67
Brazil,south of minas,Bourbon,Natural / Dry,Bluish-Green,2016,934,7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,7.5,82.67
Mexico,veracruz,NA,NA,Green,2016,1300,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,7.75,82.67
Colombia,huila,NA,Washed / Wet,Green,2015,NA,7.75,7.5,7.33,7.58,7.33,7.75,10,10,10,7.42,82.67
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,7.5,82.67
Brazil,monte carmelo,Catuai,Natural / Dry,NA,2014,NA,7.33,7.5,7.58,7.58,7.67,7.5,10,10,10,7.5,82.67
"Tanzania, United Republic Of",karatu arusha,Other,Washed / Wet,Green,2014,1700,7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,82.67
"Tanzania, United Republic Of",mbinga,Bourbon,Washed / Wet,Green,2014,1550,7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,82.67
Taiwan,嘉義阿里山,Typica,Washed / Wet,Green,2014,1200,8,7.83,7.83,7.42,7.25,7.25,10,10,10,7.08,82.67
Mexico,la yerba,Typica,Natural / Dry,Green,2014,1296,7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,82.67
Taiwan,chiayi alishan 嘉義縣阿里山鄉,Typica,Washed / Wet,Green,2013/2014,1240,7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,7.5,82.67
Thailand,phahi,Caturra,Washed / Wet,Bluish-Green,2013,1500,7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,82.67
Colombia,huila,Caturra,Washed / Wet,Bluish-Green,2012,1800,7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,7.42,82.67
Guatemala,antigua,Caturra,Washed / Wet,Green,2012,1500,7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,7.5,82.67
Thailand,thailand,Other,Washed / Wet,Bluish-Green,2012,NA,7.83,7.33,7.83,7.33,7.58,7.83,10,10,9.33,7.58,82.67
Mexico,NA,Other,Washed / Wet,NA,2012,1100,7.58,7.58,7.42,7.58,7.42,7.5,10,10,10,7.58,82.67
Mexico,mahuixtlan,Typica,Washed / Wet,NA,2012,950,7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,7.58,82.67
Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,NA,NA,Green,Spring 2011 in Colombia.,NA,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,7.58,82.67
United States (Hawaii),kona,NA,NA,NA,NA,NA,7.83,7.67,7.5,7.67,7.5,7.58,10,10,9.33,7.58,82.67
Mexico,mexico,Blue Mountain,NA,NA,2010-2011,1400,7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,7.08,82.67
Colombia,huila,NA,NA,NA,4T/10,1800,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,7.42,82.67
Colombia,NA,NA,NA,NA,2009-2010,NA,7.5,7.42,7.33,7.33,7.67,7.83,10,10,10,7.58,82.67
Guatemala,oriente,Bourbon,Washed / Wet,Green,2017,1219.2,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,82.58
Taiwan,國姓鄉 guoshing township,Typica,Pulped natural / honey,Green,2016,1050,7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,7.5,82.58
Brazil,south of minas,NA,Pulped natural / honey,Green,2016,NA,7.5,7.58,7.42,7.5,7.75,7.33,10,10,10,7.5,82.58
Taiwan,changhua baguashan 彰化市八卦山,NA,NA,Blue-Green,2016 / 2017,200,7.25,7.25,7,7.08,7,7,10,10,10,10,82.58
Brazil,campos altos - cerrado,NA,NA,Green,2016,NA,7.42,7.42,7.5,7.33,7.25,7.67,10,10,10,8,82.58
Thailand,thailand,NA,Washed / Wet,Green,2014,800,7.75,7.33,7.42,7.67,7.42,7.5,10,10,10,7.5,82.58
Thailand,chiangrai,Caturra,Washed / Wet,Blue-Green,2014,1450,7.42,7.58,7.58,7.42,7.58,7.5,10,10,10,7.5,82.58
"Tanzania, United Republic Of",ikand village,Other,Washed / Wet,NA,2014,1317,7.75,7.42,7.33,7.5,7.58,7.5,10,10,10,7.5,82.58
Costa Rica,central valley,Catuai,Washed / Wet,Green,2013,1300,7.67,7.42,7.5,7.67,7,7.75,10,10,10,7.58,82.58
Mexico,veracruz,NA,Washed / Wet,Green,2014,NA,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10,10,7.58,82.58
Guatemala,NA,NA,Natural / Dry,Blue-Green,2012,NA,7.5,7.58,7.42,7.58,7.42,7.58,10,10,10,7.5,82.58
Colombia,huila,Caturra,Washed / Wet,Blue-Green,2013,1750,7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,82.58
Colombia,huila,Caturra,Washed / Wet,NA,2012,1750,7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,7.42,82.58
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,7.42,82.58
Mexico,oaxaca,Typica,Washed / Wet,Green,2012,1250,7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,82.58
Mexico,colima,Typica,Washed / Wet,Green,2012,1150,7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,82.58
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,82.58
Brazil,south of minas,Mundo Novo,NA,NA,2011,975,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,82.58
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,82.5
Honduras,comayagua,Caturra,Washed / Wet,Green,2017,1400,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.5
Guatemala,oriente,Bourbon,Washed / Wet,Green,2016,1219.2,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,82.5
Thailand,thailand,NA,Washed / Wet,Green,2014,800,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,82.5
Thailand,chiangrai,Caturra,Washed / Wet,NA,2014,1450,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,82.5
"Tanzania, United Republic Of",karatu arusha,Other,Washed / Wet,Green,2014,1600,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,82.5
"Tanzania, United Republic Of",moshi,Other,Washed / Wet,Bluish-Green,2014,NA,7.75,7,7.42,7.58,7.58,7.58,10,10,10,7.58,82.5
Mexico,chiapas,Other,Washed / Wet,Green,2013,1600,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,82.5
Brazil,south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,Bluish-Green,2013/2014,1260,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,82.5
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,82.5
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,82.5
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,82.5
Mexico,san bartolo tutotepec,Typica,Washed / Wet,None,2012,1679,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,82.5
Mexico,zapotitlan de mendez,Typica,Washed / Wet,Green,2012,1100,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,82.5
Mexico,la concordia,Typica,Semi-washed / Semi-pulped,NA,2012,1650,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,82.5
Guatemala,oriente,Caturra,Natural / Dry,Green,2012,NA,7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,7.5,82.5
Brazil,carmo de minas,Bourbon,Semi-washed / Semi-pulped,Blue-Green,2012,1250,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,82.5
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,82.5
United States (Hawaii),kona,Hawaiian Kona,Washed / Wet,Green,2012,NA,7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,7.58,82.5
Guatemala,huehuetenango,NA,NA,NA,NA,1600,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10,10,7.33,82.5
Honduras,"comayagua, honduras",Other,Washed / Wet,Green,2017,1500,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,82.42
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2017,1700,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,82.42
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2016,1700,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,82.42
Guatemala,el progreso,Bourbon,Washed / Wet,Green,2017,157.8864,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,82.42
Guatemala,santa rosa,Caturra,Washed / Wet,Green,2017,NA,7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,7.5,82.42
Colombia,guayata,Caturra,Washed / Wet,Green,2016,1600,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,82.42
Brazil,campos altos - cerrado,NA,NA,Green,2016,NA,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,82.42
"Tanzania, United Republic Of",arusha meru,Ruiru 11,Washed / Wet,Green,2015/2016,2285,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,82.42
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,82.42
Guatemala,atitlan,Caturra,Washed / Wet,Green,2013,1400,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,82.42
Mexico,la yerba,Typica,Washed / Wet,Green,2014,1296,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,82.42
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,Blue-Green,2012,1000,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2013/2014,1260,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,82.42
Mexico,veracruz,Bourbon,Washed / Wet,Green,2013,1170,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,82.42
Honduras,NA,NA,Washed / Wet,None,2012,NA,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,7.67,82.42
Colombia,huila,Caturra,Washed / Wet,Green,2013,1775,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,82.42
Mexico,chiapas,Typica,Washed / Wet,Green,2013,1560,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,82.42
Mexico,san pedro cotzilnam,Typica,Semi-washed / Semi-pulped,Green,2012,1400,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,82.42
Mexico,coatepec,Typica,Washed / Wet,Green,2012,1300,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,82.42
Mexico,xalapa,Caturra,Washed / Wet,Green,2012,1170,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,82.42
Mexico,zihuatanejo de azueta,Typica,Washed / Wet,Green,2012,1300,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.42
Mexico,veracruz,Pacamara,Washed / Wet,Green,2012,1350,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,82.42
Mexico,xicotepec de juarez,Caturra,Washed / Wet,Green,2012,1150,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,82.42
Mexico,progreso santa rosa teocelo,Bourbon,Washed / Wet,NA,2012,1250,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,82.42
Mexico,fln mirador,Typica,Washed / Wet,Bluish-Green,2012,1450,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,82.42
Colombia,huila,Caturra,Natural / Dry,NA,2012,442,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,82.42
Brazil,south of minas,Arusha,Natural / Dry,Blue-Green,2012,NA,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,82.42
